species
Abrus_precatorius
Abutilon_theophrasti
Acacia_auriculiformis
Acacia_cyclops
Acacia_dealbata
Acacia_longifolia
Acacia_melanoxylon
Acacia_paradoxa
Acacia_retinodes
Acaena_novae-zelandica
Acer_campestre
Acer_palmatum
Acer_platanoides
Acer_pseudoplatanus
Acer_tataricum_subsp._ginnala
Achillea_millefolium
Achillea_ptarmica
Achyranthes_bidentata
Acorus_calamus
Adenanthera_pavonina
Aegilops_cylindrica
Aegilops_neglecta
Aegilops_triuncialis
Aegopodium_podagraria
Aesculus_hippocastanum
Agave_sisalana
Ageratina_adenophora
Agropyron_cristatum
Agrostemma_githago
Agrostis_capillaris
Agrostis_gigantea
Agrostis_stolonifera
Ailanthus_altissima
Aira_caryophyllea
Ajuga_reptans
Akebia_quinata
Albizia_julibrissin
Albizia_lebbeck
Alcea_rosea
Alhagi_maurorum
Allamanda_cathartica
Alliaria_petiolata
Allium_canadense
Allium_triquetrum
Allium_vineale
Alnus_glutinosa
Alopecurus_geniculatus
Alopecurus_myosuroides
Alopecurus_pratensis
Alternanthera_philoxeroides
Alysicarpus_vaginalis
Alyssum_alyssoides
Alyssum_turkestanicum
Amaranthus_blitoides
Amaranthus_palmeri
Amaranthus_retroflexus
Amaranthus_spinosus
Amaranthus_tuberculatus
Ambrosia_artemisiifolia
Ambrosia_trifida
Amelichloa_brachychaeta
Ampelopsis_glandulosa_var._brevipedunculata
Anchusa_arvensis
Anchusa_officinalis
Anthemis_arvensis
Anthemis_cotula
Anthoxanthum_odoratum
Anthriscus_caucalis
Anthriscus_sylvestris
Antigonon_leptopus
Apera_interrupta
Apium_graveolens
Aquilegia_vulgaris
Aralia_elata
Araujia_sericifera
Arctium_lappa
Arctotheca_calendula
Arctotheca_prostrata
Ardisia_elliptica
Arenaria_serpyllifolia
Arrhenatherum_elatius
Artemisia_absinthium
Artemisia_annua
Artemisia_biennis
Artemisia_stelleriana
Artemisia_vulgaris
Arthraxon_hispidus
Arum_italicum
Arundo_donax
Asclepias_curassavica
Asparagus_aethiopicus
Asparagus_asparagoides
Asparagus_officinalis
Asperugo_procumbens
Asphodelus_fistulosus
Astragalus_cicer
Atriplex_micrantha
Atriplex_patula
Atriplex_semibaccata
Avena_barbata
Avena_fatua
Axonopus_fissifolius
Barbarea_vulgaris
Bassia_hyssopifolia
Begonia_cucullata
Bellardia_trixago
Bellis_perennis
Berberis_bealei
Berberis_julianae
Berberis_thunbergii
Berberis_vulgaris
Berteroa_incana
Betula_pendula
Bidens_bipinnata
Bidens_pilosa
Bischofia_javanica
Borago_officinalis
Bothriochloa_ischaemum
Bougainvillea_glabra
Brachypodium_distachyon
Brachypodium_sylvaticum
Brassica_elongata
Brassica_juncea
Brassica_napus
Brassica_nigra
Brassica_rapa
Brassica_tournefortii
Briza_maxima
Briza_minor
Bromus_arvensis
Bromus_berteroanus
Bromus_briziformis
Bromus_catharticus
Bromus_diandrus
Bromus_hordeaceus
Bromus_hordeaceus_subsp._hordeaceus
Bromus_inermis
Bromus_madritensis
Bromus_racemosus
Bromus_rigidus
Bromus_rubens
Bromus_secalinus
Bromus_sterilis
Bromus_tectorum
Broussonetia_papyrifera
Bryonia_alba
Buddleja_davidii
Buglossoides_arvensis
Bupleurum_rotundifolium
Butomus_umbellatus
Cabomba_caroliniana
Cakile_maritima
Calamagrostis_arenaria
Calocedrus_decurrens
Calystegia_sepium
Camelina_microcarpa
